left_row_id,key,left_payload
1667,49,69923
1668,88,97800
1669,68,93949
1670,12,82840
1671,59,12243
1672,37,8948
1673,61,71467
1674,43,61817
1675,70,48786
1676,39,508
1677,56,66973
1678,63,27152
1679,46,11619
1680,88,74287
1681,11,16123
1682,62,7355
1683,77,30980
1684,98,86437
1685,25,79377
1686,71,52775
1687,52,5038
1688,4,28634
1689,59,24496
1690,72,64551
1691,20,81385
1692,93,36484
1693,63,73374
1694,54,34070
1695,74,7371
1696,98,71948
1697,57,39134
1698,90,96036
1699,41,95762
1700,3,693
1701,6,28927
1702,5,99783
1703,5,73985
1704,54,43391
1705,47,49594
1706,87,75610
1707,49,5210
1708,9,6534
1709,99,86598
1710,20,7212
1711,61,9928
1712,35,77464
1713,50,24595
1714,82,74853
1715,62,77714
1716,17,76383
1717,88,7934
1718,3,40697
1719,32,65450
1720,99,67617
1721,13,6090
1722,89,56549
1723,73,26124
1724,68,7798
1725,14,50014
1726,98,8347
1727,11,85415
1728,56,33673
1729,67,17654
1730,92,49557
1731,29,26141
1732,9,1185
1733,67,34494
1734,25,44149
1735,98,24847
1736,76,22196
1737,42,5607
1738,9,3957
1739,79,16556
1740,40,90386
1741,25,18691
1742,5,58503
1743,11,48850
1744,59,26348
1745,98,98726
1746,88,91322
1747,79,49057
1748,38,63852
1749,72,98235
1750,5,81503
1751,48,96634
1752,90,81419
1753,18,70212
1754,70,41851
1755,37,78546
1756,60,27844
1757,48,62321
1758,77,29794
1759,28,39517
1760,69,17858
1761,77,19628
1762,81,61823
1763,40,84102
1764,45,91562
1765,96,52249
1766,62,55799
1767,93,93369
1768,58,44117
1769,67,75319
1770,56,87903
1771,40,28558
1772,98,71335
1773,40,75164
1774,91,78003
1775,77,42615
1776,33,12721
1777,6,57609
1778,88,72096
1779,19,84695
1780,80,96453
1781,40,87594
1782,92,35893
1783,97,77243
1784,59,77607
1785,59,925
1786,48,51323
1787,41,26479
1788,13,71043
1789,45,46419
1790,89,62218
1791,53,90141
1792,42,80847
1793,100,73763
1794,63,11782
1795,27,5516
1796,38,36134
1797,60,82509
1798,7,97629
1799,5,76947
1800,45,85059
1801,58,9096
1802,31,88584
1803,23,20471
1804,42,43130
1805,10,8532
1806,32,37039
1807,53,87940
1808,30,42675
1809,39,94659
1810,31,82477
1811,82,29832
1812,100,57175
1813,2,11280
1814,78,38221
1815,77,60611
1816,93,52720
1817,12,53052
1818,39,72014
1819,66,56653
1820,96,65525
1821,13,82937
1822,46,6471
1823,27,67599
1824,17,41799
1825,95,53474
1826,98,19881
1827,60,44440
1828,64,14309
1829,88,91564
1830,35,96257
1831,70,35082
1832,83,75243
1833,30,50384
1834,71,9838
1835,74,52152
1836,96,36825
1837,98,33074
1838,63,97625
1839,28,93649
1840,60,26300
1841,79,99994
1842,94,58862
1843,37,30064
1844,93,69454
1845,22,68473
1846,68,14507
1847,20,94342
1848,96,79855
1849,100,26027
1850,68,27673
1851,91,38418
1852,64,52414
1853,17,65067
1854,12,59214
1855,22,50972
1856,17,27282
1857,10,28092
1858,65,50495
1859,22,18611
1860,90,1080
1861,82,95387
1862,50,46752
1863,14,86127
1864,64,55433
1865,47,30952
1866,29,80864
1867,76,78292
1868,36,59873
1869,99,7236
1870,52,82734
1871,76,62713
1872,7,21474
1873,29,67568
1874,11,79824
1875,33,32231
1876,6,84574
1877,79,92589
1878,32,68877
1879,51,40645
1880,75,48665
1881,58,45204
1882,87,66678
1883,26,25426
1884,98,84818
1885,46,85962
1886,98,97650
1887,29,69807
1888,4,42815
1889,81,70220
1890,99,49647
1891,13,39885
1892,39,95346
1893,15,69323
1894,29,21651
1895,29,94243
1896,75,9191
1897,32,38197
1898,2,39450
1899,47,39662
1900,78,29710
1901,84,80429
1902,22,75180
1903,75,9944
1904,27,43241
1905,67,45761
1906,81,21043
1907,56,43895
1908,92,6870
1909,93,61079
1910,21,56760
1911,47,44307
1912,80,55372
1913,59,20919
1914,84,28380
1915,6,90811
1916,19,83233
1917,57,2963
1918,69,13852
1919,3,45748
1920,1,52350
1921,58,70833
1922,38,56357
1923,15,14746
1924,34,5731
1925,61,13922
1926,35,98431
1927,64,71139
1928,25,83112
1929,24,19024
1930,12,45350
1931,18,81534
1932,15,83287
1933,80,41980
1934,27,22838
1935,72,14998
1936,60,88604
1937,46,45040
1938,89,20924
1939,17,8877
1940,93,60974
1941,53,2888
1942,8,63724
1943,79,42423
1944,27,51414
1945,46,2842
1946,50,28757
1947,71,71577
1948,3,10305
1949,93,30342
1950,64,4759
1951,44,17011
1952,53,60759
1953,24,31659
1954,60,49003
1955,3,1376
1956,20,99486
1957,46,22093
1958,15,491
1959,25,3730
1960,94,5975
1961,78,85217
1962,71,83861
1963,17,96871
1964,84,21399
1965,100,34651
1966,9,21293
