left_row_id,key,left_payload
3334,99,54206
3335,61,68476
3336,92,64342
3337,93,95378
3338,9,42864
3339,50,81838
3340,6,65440
3341,83,7195
3342,60,71388
3343,44,81915
3344,11,66215
3345,66,96177
3346,47,99293
3347,73,29778
3348,85,26184
3349,88,27446
3350,98,67039
3351,86,87202
3352,3,16199
3353,76,21412
3354,92,50578
3355,30,15868
3356,90,62502
3357,21,14267
3358,28,39423
3359,90,35209
3360,62,31214
3361,33,7368
3362,85,79027
3363,35,35363
3364,52,51589
3365,34,38286
3366,41,74756
3367,51,71847
3368,47,36308
3369,82,95168
3370,58,80281
3371,75,19868
3372,57,56524
3373,23,84162
3374,48,6379
3375,22,84686
3376,17,76959
3377,69,27927
3378,11,98708
3379,94,13181
3380,15,92838
3381,91,36932
3382,35,24015
3383,33,96473
3384,84,79873
3385,16,58503
3386,34,87737
3387,66,5471
3388,99,96396
3389,40,14954
3390,28,38508
3391,47,92970
3392,39,91494
3393,70,6524
3394,73,86924
3395,20,57191
3396,1,47762
3397,72,31170
3398,87,45642
3399,63,22991
3400,67,29662
3401,4,13420
3402,58,14458
3403,25,67601
3404,47,76103
3405,38,33086
3406,15,97065
3407,63,50655
3408,21,6131
3409,99,2043
3410,57,70135
3411,53,42983
3412,46,98423
3413,14,65186
3414,100,33478
3415,76,52710
3416,17,28717
3417,39,78138
3418,9,36019
3419,99,8062
3420,77,8610
3421,79,35372
3422,82,83022
3423,97,20806
3424,6,7858
3425,91,11621
3426,23,8178
3427,59,30112
3428,91,88579
3429,98,84182
3430,46,89942
3431,38,11827
3432,14,13891
3433,100,82429
3434,72,58032
3435,62,75021
3436,35,5496
3437,19,28482
3438,30,11268
3439,78,6744
3440,84,54801
3441,25,48774
3442,40,57043
3443,88,49477
3444,14,92106
3445,26,28553
3446,87,65243
3447,22,45773
3448,48,43731
3449,83,28949
3450,51,76312
3451,3,69094
3452,42,69124
3453,19,16536
3454,73,66491
3455,28,46563
3456,84,89081
3457,45,58536
3458,71,98992
3459,78,41270
